block_id,display_name,block_type,tier,universality_pct,rfp_count_of_40,variants_count,word_count_min,word_count_target,word_count_max,funder_tags,variable_fields,mvp_launch,interview_confirmed,interview_evidence_quote
ORG-MISSION,Organization Mission Statement,Foundation,1,95,38,4,25,175,350,"all-types","org_name|founding_year|primary_geography|focus_area|population|key_outcome",TRUE,TRUE,"I reuse probably 70% of each proposal. The problem isn't writing — it's finding the right version."
NEED-COMM,Community Need / Problem Statement,Foundation,1,93,37,3,150,350,750,"all-types","primary_need|stat_1|stat_2|stat_3|local_context|target_population|gap_description",TRUE,TRUE,"Half the time I'm applying to things that aren't quite right for us and I know it going in."
PROG-DESC,Program / Project Description,Program,1,98,39,3,200,600,1500,"all-types","project_name|start_date|end_date|activities_list|participants|location|grant_amount|project_staff",TRUE,TRUE,"Program descriptions are the most reused but the hardest to keep current."
GOALS-OBJ,Goals Objectives & Outcomes,Program,1,88,35,3,150,400,750,"all-types","goal_1|objective_1a|target_1a|timeframe_1a|goal_2|objective_2a",TRUE,TRUE,"SMART goals are in almost every federal grant we apply for. I write the same ones every year."
EVAL,Evaluation Plan,Program,1,85,34,2,150,350,600,"all-types","eval_methods|data_collection|who_evaluates|reporting_frequency|outcome_metrics",TRUE,TRUE,"Confirmed universal reuse in 15 interviews"
ORG-BG,Organization Background & History,Foundation,1,83,33,2,150,400,600,"all-types","founding_year|founder_story|org_size|staff_count|volunteer_count|annual_budget|key_programs",TRUE,TRUE,"When Maria left — she took all the good language with her."
BUDGET-NAR,Budget Narrative,Financial,1,100,40,3,100,400,800,"all-types","total_budget|grant_request|personnel_costs_desc|fringe_rate|indirect_rate|supplies_desc|other_income_sources",TRUE,TRUE,"The budget narrative is the section I'm most likely to get wrong."
POP-SERVED,Population Served Description,Foundation,2,75,30,2,75,250,350,"all-types","primary_population|demographic_data|population_size|geographic_boundary|barriers_faced",TRUE,TRUE,"There are funders for BIPOC-led organizations that I often don't know about."
SUSTAIN,Sustainability Plan,Financial,2,60,24,2,150,250,450,"community-foundation|private-foundation|government","future_funding_sources|earned_revenue_plan|reserve_status|partner_support",FALSE,TRUE,"Confirmed reuse in 15 interviews"
ORG-CAP,Organizational Capacity Statement,Foundation,2,55,22,2,200,350,600,"government|large-private-foundation","board_size|board_composition|financial_mgmt_system|audit_status|staff_qualifications|years_operating",FALSE,FALSE,"Confirmed need in government grants"
COMMUNITY-ENG,Community Engagement Statement,Program,2,53,21,2,200,300,600,"community-foundation|equity-focused","engagement_methods|resident_voice_examples|partner_orgs|co_design_process|community_advisory",FALSE,TRUE,"If a tool could just be a vault — a place where the good versions live — I would pay for that."
LOGIC-MODEL,Theory of Change / Logic Model Narrative,Program,2,48,19,2,300,500,750,"large-private-foundation|government|equity-focused","inputs|activities|outputs|short_outcomes|intermediate_outcomes|long_term_outcomes",TRUE,TRUE,"Theory of change — I Googled that phrase the first time I saw it."
EQUITY,Equity & Inclusion Statement,Foundation,2,43,17,2,200,300,350,"community-foundation|ca-government|equity-focused","dei_commitments|staff_demographics|board_demographics|equity_practices|anti_racism_actions",TRUE,TRUE,"I've written the same equity statement 20 times in 20 slightly different ways."
PARTNER,Partnership / Collaboration Statement,Program,3,40,16,3,150,250,300,"creative-placemaking|collaborative-grants|government","partner_org|partner_role|mou_status|partner_contribution",FALSE,FALSE,"Confirmed in NEA Our Town and collaborative foundation grants"
GEO-DESC,Geographic Service Area Description,Foundation,3,35,14,2,75,150,200,"government|community-foundation|local-government","service_area_name|census_data|demographics|population_size|rural_urban",FALSE,FALSE,"Confirmed in HUD CDBG and USDA grants"
ORG-FIN-HEALTH,Organizational Financial Health Summary,Financial,3,30,12,1,150,200,250,"government|large-private-foundation","annual_budget|reserves_months|revenue_breakdown|audit_year|990_status",FALSE,FALSE,"Required by government grants and foundations with >$25K asks"
LOI-OPEN,Letter of Inquiry Opening Narrative,Specialized,3,20,8,2,200,350,400,"private-foundation|community-foundation","funder_name|program_officer_name|grant_amount|project_title|proposal_summary",FALSE,TRUE,"We spent 3 days on a proposal — then realized we weren't eligible. LOI would have caught that."
REPORT-NAR,Grant Report Narrative,Specialized,3,0,0,1,400,600,800,"all-types-post-award","activities_completed|participants_served|outcomes_achieved|challenges_faced|lessons_learned",FALSE,TRUE,"Grant reports are nearly as burdensome as applications. Nobody thinks about this."
